Timestamp (s),Latitude (deg),Longitude (deg),Speed (km/h)
0.000,50.44902203,30.52340000,41.56
0.040,50.44902303,30.52340632,41.56
0.080,50.44902406,30.52341286,43.00
0.120,50.44902512,30.52341962,44.41
0.160,50.44902621,30.52342659,45.77
0.200,50.44902733,30.52343376,47.10
0.240,50.44902848,30.52344113,48.40
0.280,50.44902965,30.52344869,49.65
0.320,50.44903086,30.52345644,50.87
0.360,50.44903210,30.52346436,52.05
0.400,50.44903336,30.52347246,53.20
0.440,50.44903465,30.52348073,54.30
0.480,50.44903597,30.52348916,55.37
0.520,50.44903732,30.52349774,56.40
0.560,50.44903870,30.52350647,57.40
0.600,50.44904011,30.52351535,58.36
0.640,50.44904155,30.52352436,59.28
0.680,50.44904302,30.52353350,60.16
0.720,50.44904451,30.52354277,61.01
0.760,50.44904604,30.52355216,61.82
0.800,50.44904759,30.52356167,62.59
0.840,50.44904917,30.52357128,63.33
0.880,50.44905078,30.52358099,64.03
0.920,50.44905242,30.52359080,64.69
0.960,50.44905409,30.52360069,65.31
1.000,50.44905579,30.52361067,65.90
1.040,50.44905752,30.52362073,66.45
1.080,50.44905927,30.52363086,66.97
1.120,50.44906106,30.52364105,67.45
1.160,50.44906287,30.52365130,67.89
1.200,50.44906472,30.52366161,68.29
1.240,50.44906659,30.52367196,68.66
1.280,50.44906849,30.52368236,69.00
1.320,50.44907042,30.52369279,69.29
1.360,50.44907238,30.52370325,69.56
1.400,50.44907437,30.52371373,69.78
1.440,50.44907639,30.52372423,69.97
1.480,50.44907843,30.52373474,70.12
1.520,50.44908051,30.52374526,70.24
1.560,50.44908261,30.52375578,70.32
1.600,50.44908474,30.52376629,70.37
1.640,50.44908691,30.52377678,70.38
1.680,50.44908910,30.52378726,70.36
1.720,50.44909132,30.52379771,70.30
1.760,50.44909357,30.52380813,70.20
1.800,50.44909584,30.52381852,70.08
1.840,50.44909815,30.52382886,69.91
1.880,50.44910049,30.52383916,69.72
1.920,50.44910285,30.52384940,69.49
